,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Inter,97,38,30,7,1,81,34,48,19,15,3,1,43,19,49,19,15,4,0,38,15
1,2,Roma,75,38,22,9,7,74,34,43,19,13,4,2,43,12,32,19,9,5,5,31,22
2,3,Fiorentina,73,38,21,10,7,62,31,47,19,15,2,2,44,12,26,19,6,8,5,18,19
3,4,Milan,69,38,19,12,7,57,36,39,19,12,3,4,30,17,30,19,7,9,3,27,19
4,5,Lazio,65,38,18,11,9,59,33,36,19,10,6,3,25,9,29,19,8,5,6,34,24
5,6,Palermo,58,38,16,10,12,58,51,30,19,9,3,7,37,28,28,19,7,7,5,21,23
6,7,Empoli,54,38,14,12,12,42,44,37,19,10,7,2,29,16,17,19,4,5,10,13,28
7,8,Reggina,51,38,12,15,11,52,50,29,19,7,8,4,26,19,22,19,5,7,7,26,31
8,9,Atalanta,50,38,12,14,12,56,54,33,19,8,9,2,34,22,17,19,4,5,10,22,32
9,10,Sampdoria,49,38,13,10,15,44,48,34,19,9,7,3,30,19,15,19,4,3,12,14,29
10,11,Udinese,46,38,12,10,16,49,55,28,19,8,4,7,26,21,18,19,4,6,9,23,34
11,12,Livorno,43,38,10,13,15,41,54,32,19,8,8,3,24,15,11,19,2,5,12,17,39
12,13,Parma,42,38,10,12,16,41,56,31,19,9,4,6,25,24,11,19,1,8,10,16,32
13,14,Catania,41,38,10,11,17,46,68,27,19,7,6,6,29,29,14,19,3,5,11,17,39
14,15,Siena,41,38,9,14,15,35,45,23,19,5,8,6,23,24,18,19,4,6,9,12,21
15,16,Torino,40,38,10,10,18,27,47,22,19,6,4,9,15,22,18,19,4,6,9,12,25
16,17,Cagliari,40,38,9,13,16,35,46,28,19,7,7,5,19,19,12,19,2,6,11,16,27
17,18,Chievo Verona,39,38,9,12,17,38,48,27,19,7,6,6,21,18,12,19,2,6,11,17,30
18,19,Ascoli Picchio,27,38,5,12,21,36,67,17,19,3,8,8,24,32,10,19,2,4,13,12,35
19,20,Messina,26,38,5,11,22,37,69,22,19,5,7,7,20,26,4,19,0,4,15,17,43
