,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Inter,82,38,24,10,4,75,34,49,19,15,4,0,42,15,33,19,9,6,4,33,19
1,2,Roma,80,38,24,8,6,68,41,46,19,15,1,3,36,17,34,19,9,7,3,32,24
2,3,Milan,70,38,20,10,8,60,39,41,19,12,5,2,37,20,29,19,8,5,6,23,19
3,4,Sampdoria,67,38,19,10,9,49,41,45,19,13,6,0,31,10,22,19,6,4,9,18,31
4,5,Palermo,65,38,18,11,9,59,47,45,19,13,6,0,34,14,20,19,5,5,9,25,33
5,6,Napoli,59,38,15,14,9,50,43,35,19,9,8,2,26,16,24,19,6,6,7,24,27
6,7,Juventus,55,38,16,7,15,55,56,31,19,9,4,6,32,26,24,19,7,3,9,23,30
7,8,Parma,52,38,14,10,14,46,51,34,19,10,4,5,24,17,18,19,4,6,9,22,34
8,9,Genoa,51,38,14,9,15,57,61,38,19,11,5,3,42,28,13,19,3,4,12,15,33
9,10,Bari,50,38,13,11,14,49,49,37,19,11,4,4,30,15,13,19,2,7,10,19,34
10,11,Fiorentina,47,38,13,8,17,48,47,30,19,9,3,7,28,20,17,19,4,5,10,20,27
11,12,Lazio,46,38,11,13,14,39,43,21,19,5,6,8,19,21,25,19,6,7,6,20,22
12,13,Catania,45,38,10,15,13,44,45,31,19,8,7,4,25,15,14,19,2,8,9,19,30
13,14,Udinese,44,38,11,11,16,54,59,35,19,10,5,4,38,25,9,19,1,6,12,16,34
14,15,Chievo Verona,44,38,12,8,18,37,42,23,19,6,5,8,20,21,21,19,6,3,10,17,21
15,16,Cagliari,44,38,11,11,16,56,58,28,19,7,7,5,37,29,16,19,4,4,11,19,29
16,17,Bologna,42,38,10,12,16,42,55,26,19,7,5,7,25,27,16,19,3,7,9,17,28
17,18,Atalanta,35,38,9,8,21,37,53,26,19,7,5,7,24,20,9,19,2,3,14,13,33
18,19,Siena,31,38,7,10,21,40,67,19,19,4,7,8,17,25,12,19,3,3,13,23,42
19,20,Livorno,29,38,7,8,23,27,61,20,19,5,5,9,19,25,9,19,2,3,14,8,36
