,RANKING,TEAM,POINTS,POINTS_HOME,POINTS_AWAY,GOALS_FOR,GOALS_FOR_HOME,GOALS_FOR_AWAY,GOALS_AGAINST,GOALS_AGAINST_HOME,GOALS_AGAINST_AWAY
0,1,Milan,82,43,39,65,42,23,24,12,12
1,2,Inter,76,48,28,69,48,21,42,20,22
2,3,Napoli,70,40,30,59,33,26,39,15,24
3,4,Udinese,66,37,29,65,27,38,43,16,27
4,5,Lazio,66,42,24,55,31,24,39,15,24
5,6,Roma,63,38,25,59,31,28,52,18,34
6,7,Juventus,58,30,28,57,35,22,47,31,16
7,8,Palermo,56,36,20,58,33,25,63,28,35
8,9,Fiorentina,51,33,18,49,28,21,44,18,26
9,10,Genoa,51,33,18,45,29,16,47,24,23
10,11,Chievo Verona,46,26,20,38,15,23,40,13,27
11,12,Catania,46,37,9,40,27,13,52,19,33
12,13,Parma,46,28,18,39,21,18,47,16,31
13,14,Bologna,45,28,17,35,17,18,52,20,32
14,15,Cagliari,45,27,18,44,27,17,51,23,28
15,16,Cesena,43,26,17,38,17,21,50,21,29
16,17,Lecce,41,26,15,46,28,18,66,29,37
17,18,Sampdoria,36,21,15,33,21,12,49,21,28
18,19,Brescia,32,23,9,34,22,12,52,24,28
19,20,Bari,24,12,12,27,12,15,56,28,28
