,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,87,38,26,9,3,72,24,51,19,16,3,0,45,11,36,19,10,6,3,27,13
1,2,Roma,70,38,19,13,6,54,31,37,19,10,7,2,31,14,33,19,9,6,4,23,17
2,3,Lazio,69,38,21,6,11,71,38,37,19,12,1,6,40,18,32,19,9,5,5,31,20
3,4,Fiorentina,64,38,18,10,10,61,46,33,19,9,6,4,30,17,31,19,9,4,6,31,29
4,5,Napoli,63,38,18,9,11,70,54,38,19,11,5,3,46,28,25,19,7,4,8,24,26
5,6,Genoa,59,38,16,11,11,62,47,33,19,9,6,4,33,21,26,19,7,5,7,29,26
6,7,Sampdoria,56,38,13,17,8,48,42,31,19,7,10,2,23,15,25,19,6,7,6,25,27
7,8,Inter,55,38,14,13,11,59,48,28,19,7,7,5,33,23,27,19,7,6,6,26,25
8,9,Torino,54,38,14,12,12,48,45,31,19,8,7,4,25,14,23,19,6,5,8,23,31
9,10,Milan,52,38,13,13,12,56,50,32,19,9,5,5,30,19,20,19,4,8,7,26,31
10,11,Sassuolo,49,38,12,13,13,49,57,29,19,7,8,4,25,22,20,19,5,5,9,24,35
11,12,Palermo,49,38,12,13,13,53,55,30,19,8,6,5,30,25,19,19,4,7,8,23,30
12,13,Hellas Verona,46,38,11,13,14,49,65,26,19,7,5,7,27,30,20,19,4,8,7,22,35
13,14,Chievo Verona,43,38,10,13,15,28,41,21,19,4,9,6,16,19,22,19,6,4,9,12,22
14,15,Empoli,42,38,8,18,12,46,52,26,19,6,8,5,26,22,16,19,2,10,7,20,30
15,16,Udinese,41,38,10,11,17,43,56,23,19,6,5,8,26,29,18,19,4,6,9,17,27
16,17,Atalanta,37,38,7,16,15,38,57,19,19,4,7,8,22,33,18,19,3,9,7,16,24
17,18,Cagliari,34,38,8,10,20,48,68,16,19,4,4,11,24,36,18,19,4,6,9,24,32
18,19,Parma,26,38,6,8,24,33,75,19,19,5,4,10,19,27,7,19,1,4,14,14,48
19,20,Cesena,24,38,4,12,22,36,73,16,19,3,7,9,19,31,8,19,1,5,13,17,42
