,RANKING,TEAM,POINTS,GAMES,WINS,DRAWS,LOSSES,GOALS_FOR,GOALS_AGAINST,POINTS_HOME,GAMES_HOME,WINS_HOME,DRAWS_HOME,LOSSES_HOME,GOALS_FOR_HOME,GOALS_AGAINST_HOME,POINTS_AWAY,GAMES_AWAY,WINS_AWAY,DRAWS_AWAY,LOSSES_AWAY,GOALS_FOR_AWAY,GOALS_AGAINST_AWAY
0,1,Juventus,91,38,29,4,5,77,27,55,19,18,1,0,48,9,36,19,11,3,5,29,18
1,2,Roma,87,38,28,3,7,90,38,49,19,16,1,2,50,18,38,19,12,2,5,40,20
2,3,Napoli,86,38,26,8,4,94,39,43,19,13,4,2,44,19,43,19,13,4,2,50,20
3,4,Atalanta,72,38,21,9,8,62,41,40,19,12,4,3,31,18,32,19,9,5,5,31,23
4,5,Lazio,70,38,21,7,10,74,51,38,19,12,2,5,40,23,32,19,9,5,5,34,28
5,6,Milan,63,38,18,9,11,57,45,38,19,12,2,5,32,20,25,19,6,7,6,25,25
6,7,Inter,62,38,19,5,14,72,49,36,19,11,3,5,44,22,26,19,8,2,9,28,27
7,8,Fiorentina,60,38,16,12,10,63,57,38,19,10,8,1,34,23,22,19,6,4,9,29,34
8,9,Torino,53,38,13,14,11,71,66,35,19,9,8,2,43,31,18,19,4,6,9,28,35
9,10,Sampdoria,48,38,12,12,14,49,55,30,19,8,6,5,28,23,18,19,4,6,9,21,32
10,11,Cagliari,47,38,14,5,19,55,76,36,19,11,3,5,38,34,11,19,3,2,14,17,42
11,12,Sassuolo,46,38,13,7,18,58,63,24,19,7,3,9,27,28,22,19,6,4,9,31,35
12,13,Udinese,45,38,12,9,17,47,56,29,19,8,5,6,30,23,16,19,4,4,11,17,33
13,14,Chievo Verona,43,38,12,7,19,43,61,23,19,6,5,8,25,30,20,19,6,2,11,18,31
14,15,Bologna,41,38,11,8,19,40,58,26,19,8,2,9,24,25,15,19,3,6,10,16,33
15,16,Genoa,36,38,9,9,20,38,64,25,19,6,7,6,24,24,11,19,3,2,14,14,40
16,17,Crotone,34,38,9,7,22,34,58,22,19,6,4,9,21,25,12,19,3,3,13,13,33
17,18,Empoli,32,38,8,8,22,29,61,19,19,5,4,10,16,29,13,19,3,4,12,13,32
18,19,Palermo,26,38,6,8,24,33,77,15,19,4,3,12,13,30,11,19,2,5,12,20,47
19,20,Pescara,18,38,3,9,26,37,81,11,19,2,5,12,19,38,7,19,1,4,14,18,43
