,DAY,DATE,HOME_TEAM,AWAY_TEAM,HOME_GOALS,AWAY_GOALS
0,1,2015-08-23,Hellas Verona,Roma,1,1
1,1,2015-08-23,Sampdoria,Carpi,5,2
2,1,2015-08-23,Palermo,Genoa,1,0
3,1,2015-08-23,Inter,Atalanta,1,0
4,1,2015-08-23,Frosinone,Torino,1,2
5,1,2015-08-23,Fiorentina,Milan,2,0
6,1,2015-08-23,Sassuolo,Napoli,2,1
7,1,2015-08-23,Juventus,Udinese,0,1
8,1,2015-08-23,Lazio,Bologna,2,1
9,1,2015-08-23,Empoli,Chievo Verona,1,3
10,2,2015-08-30,Chievo Verona,Lazio,4,0
11,2,2015-08-30,Genoa,Hellas Verona,2,0
12,2,2015-08-30,Bologna,Sassuolo,0,1
13,2,2015-08-30,Atalanta,Frosinone,2,0
14,2,2015-08-30,Napoli,Sampdoria,2,2
15,2,2015-08-30,Roma,Juventus,2,1
16,2,2015-08-30,Milan,Empoli,2,1
17,2,2015-08-30,Torino,Fiorentina,3,1
18,2,2015-08-30,Carpi,Inter,1,2
19,2,2015-08-30,Udinese,Palermo,0,1
20,3,2015-09-13,Empoli,Napoli,2,2
21,3,2015-09-13,Frosinone,Roma,0,2
22,3,2015-09-13,Juventus,Chievo Verona,1,1
23,3,2015-09-13,Hellas Verona,Torino,2,2
24,3,2015-09-13,Fiorentina,Genoa,1,0
25,3,2015-09-13,Palermo,Carpi,2,2
26,3,2015-09-13,Sampdoria,Bologna,2,0
27,3,2015-09-13,Sassuolo,Atalanta,2,2
28,3,2015-09-13,Lazio,Udinese,2,0
29,3,2015-09-13,Inter,Milan,1,0
30,4,2015-09-20,Bologna,Frosinone,1,0
31,4,2015-09-20,Chievo Verona,Inter,0,1
32,4,2015-09-20,Genoa,Juventus,0,2
33,4,2015-09-20,Roma,Sassuolo,2,2
34,4,2015-09-20,Milan,Palermo,3,2
35,4,2015-09-20,Carpi,Fiorentina,0,1
36,4,2015-09-20,Napoli,Lazio,5,0
37,4,2015-09-20,Atalanta,Hellas Verona,1,1
38,4,2015-09-20,Udinese,Empoli,1,2
39,4,2015-09-20,Torino,Sampdoria,2,0
40,5,2015-09-23,Palermo,Sassuolo,0,1
41,5,2015-09-23,Chievo Verona,Torino,1,0
42,5,2015-09-23,Fiorentina,Bologna,2,0
43,5,2015-09-23,Inter,Hellas Verona,1,0
44,5,2015-09-23,Juventus,Frosinone,1,1
45,5,2015-09-23,Lazio,Genoa,2,0
46,5,2015-09-23,Sampdoria,Roma,2,1
47,5,2015-09-23,Empoli,Atalanta,0,1
48,5,2015-09-23,Carpi,Napoli,0,0
49,5,2015-09-23,Udinese,Milan,2,3
50,6,2015-09-27,Sassuolo,Chievo Verona,1,1
51,6,2015-09-27,Roma,Carpi,5,1
52,6,2015-09-27,Napoli,Juventus,2,1
53,6,2015-09-27,Genoa,Milan,1,0
54,6,2015-09-27,Bologna,Udinese,1,2
55,6,2015-09-27,Hellas Verona,Lazio,1,2
56,6,2015-09-27,Torino,Palermo,2,1
57,6,2015-09-27,Inter,Fiorentina,1,4
58,6,2015-09-27,Frosinone,Empoli,2,0
59,6,2015-09-27,Atalanta,Sampdoria,2,1
60,7,2015-10-04,Fiorentina,Atalanta,3,0
61,7,2015-10-04,Chievo Verona,Hellas Verona,1,1
62,7,2015-10-04,Milan,Napoli,0,4
63,7,2015-10-04,Lazio,Frosinone,2,0
64,7,2015-10-04,Juventus,Bologna,3,1
65,7,2015-10-04,Udinese,Genoa,1,1
66,7,2015-10-04,Carpi,Torino,2,1
67,7,2015-10-04,Palermo,Roma,2,4
68,7,2015-10-04,Empoli,Sassuolo,1,0
69,7,2015-10-04,Sampdoria,Inter,1,1
70,8,2015-10-18,Inter,Juventus,0,0
71,8,2015-10-18,Sassuolo,Lazio,2,1
72,8,2015-10-18,Torino,Milan,1,1
73,8,2015-10-18,Napoli,Fiorentina,2,1
74,8,2015-10-18,Bologna,Palermo,0,1
75,8,2015-10-18,Hellas Verona,Udinese,1,1
76,8,2015-10-18,Atalanta,Carpi,3,0
77,8,2015-10-18,Roma,Empoli,3,1
78,8,2015-10-18,Frosinone,Sampdoria,2,0
79,8,2015-10-18,Genoa,Chievo Verona,3,2
80,9,2015-10-25,Lazio,Torino,3,0
81,9,2015-10-25,Empoli,Genoa,2,0
82,9,2015-10-25,Carpi,Bologna,1,2
83,9,2015-10-25,Palermo,Inter,1,1
84,9,2015-10-25,Sampdoria,Hellas Verona,4,1
85,9,2015-10-25,Juventus,Atalanta,2,0
86,9,2015-10-25,Milan,Sassuolo,2,1
87,9,2015-10-25,Udinese,Frosinone,1,0
88,9,2015-10-25,Fiorentina,Roma,1,2
89,9,2015-10-25,Chievo Verona,Napoli,0,1
90,10,2015-10-28,Sampdoria,Empoli,1,1
91,10,2015-10-28,Roma,Udinese,3,1
92,10,2015-10-28,Napoli,Palermo,2,0
93,10,2015-10-28,Milan,Chievo Verona,1,0
94,10,2015-10-28,Atalanta,Lazio,2,1
95,10,2015-10-28,Frosinone,Carpi,2,1
96,10,2015-10-28,Bologna,Inter,0,1
97,10,2015-10-28,Sassuolo,Juventus,1,0
98,10,2015-10-28,Hellas Verona,Fiorentina,0,2
99,10,2015-10-28,Torino,Genoa,3,3
100,11,2015-11-01,Chievo Verona,Sampdoria,1,1
101,11,2015-11-01,Palermo,Empoli,0,1
102,11,2015-11-01,Udinese,Sassuolo,0,0
103,11,2015-11-01,Carpi,Hellas Verona,0,0
104,11,2015-11-01,Juventus,Torino,2,1
105,11,2015-11-01,Bologna,Atalanta,3,0
106,11,2015-11-01,Inter,Roma,1,0
107,11,2015-11-01,Lazio,Milan,1,3
108,11,2015-11-01,Fiorentina,Frosinone,4,1
109,11,2015-11-01,Genoa,Napoli,0,0
110,12,2015-11-08,Sampdoria,Fiorentina,0,2
111,12,2015-11-08,Milan,Atalanta,0,0
112,12,2015-11-08,Napoli,Udinese,1,0
113,12,2015-11-08,Sassuolo,Carpi,1,0
114,12,2015-11-08,Empoli,Juventus,1,3
115,12,2015-11-08,Torino,Inter,0,1
116,12,2015-11-08,Roma,Lazio,2,0
117,12,2015-11-08,Palermo,Chievo Verona,1,0
118,12,2015-11-08,Frosinone,Genoa,2,2
119,12,2015-11-08,Hellas Verona,Bologna,0,2
120,13,2015-11-22,Hellas Verona,Napoli,0,2
121,13,2015-11-22,Carpi,Chievo Verona,1,2
122,13,2015-11-22,Fiorentina,Empoli,2,2
123,13,2015-11-22,Juventus,Milan,1,0
124,13,2015-11-22,Genoa,Sassuolo,2,1
125,13,2015-11-22,Lazio,Palermo,1,1
126,13,2015-11-22,Atalanta,Torino,0,1
127,13,2015-11-22,Inter,Frosinone,4,0
128,13,2015-11-22,Udinese,Sampdoria,1,0
129,13,2015-11-22,Bologna,Roma,2,2
130,14,2015-11-29,Frosinone,Hellas Verona,3,2
131,14,2015-11-29,Palermo,Juventus,0,3
132,14,2015-11-29,Genoa,Carpi,1,2
133,14,2015-11-29,Sassuolo,Fiorentina,1,1
134,14,2015-11-29,Torino,Bologna,2,0
135,14,2015-11-29,Empoli,Lazio,1,0
136,14,2015-11-29,Chievo Verona,Udinese,2,3
137,14,2015-11-29,Roma,Atalanta,0,2
138,14,2015-11-29,Napoli,Inter,2,1
139,14,2015-11-29,Milan,Sampdoria,4,1
140,15,2015-12-06,Carpi,Milan,0,0
141,15,2015-12-06,Sampdoria,Sassuolo,1,3
142,15,2015-12-06,Torino,Roma,1,1
143,15,2015-12-06,Fiorentina,Udinese,3,0
144,15,2015-12-06,Inter,Genoa,1,0
145,15,2015-12-06,Hellas Verona,Empoli,0,1
146,15,2015-12-06,Bologna,Napoli,3,2
147,15,2015-12-06,Atalanta,Palermo,3,0
148,15,2015-12-06,Frosinone,Chievo Verona,0,2
149,15,2015-12-06,Lazio,Juventus,0,2
150,16,2015-12-13,Milan,Hellas Verona,1,1
151,16,2015-12-13,Palermo,Frosinone,4,1
152,16,2015-12-13,Chievo Verona,Atalanta,1,0
153,16,2015-12-13,Genoa,Bologna,0,1
154,16,2015-12-13,Empoli,Carpi,3,0
155,16,2015-12-13,Udinese,Inter,0,4
156,16,2015-12-13,Napoli,Roma,0,0
157,16,2015-12-13,Juventus,Fiorentina,3,1
158,16,2015-12-13,Lazio,Sampdoria,1,1
159,16,2015-12-13,Sassuolo,Torino,1,1
160,17,2015-12-20,Carpi,Juventus,2,3
161,17,2015-12-20,Bologna,Empoli,2,3
162,17,2015-12-20,Torino,Udinese,0,1
163,17,2015-12-20,Inter,Lazio,1,2
164,17,2015-12-20,Roma,Genoa,2,0
165,17,2015-12-20,Hellas Verona,Sassuolo,1,1
166,17,2015-12-20,Fiorentina,Chievo Verona,2,0
167,17,2015-12-20,Atalanta,Napoli,1,3
168,17,2015-12-20,Sampdoria,Palermo,2,0
169,17,2015-12-20,Frosinone,Milan,2,4
170,18,2016-01-06,Palermo,Fiorentina,1,3
171,18,2016-01-06,Napoli,Torino,2,1
172,18,2016-01-06,Empoli,Inter,0,1
173,18,2016-01-06,Sassuolo,Frosinone,2,2
174,18,2016-01-06,Chievo Verona,Roma,3,3
175,18,2016-01-06,Lazio,Carpi,0,0
176,18,2016-01-06,Juventus,Hellas Verona,3,0
177,18,2016-01-06,Udinese,Atalanta,2,1
178,18,2016-01-06,Genoa,Sampdoria,2,3
179,18,2016-01-06,Milan,Bologna,0,1
180,19,2016-01-10,Sampdoria,Juventus,1,2
181,19,2016-01-10,Fiorentina,Lazio,1,3
182,19,2016-01-10,Roma,Milan,1,1
183,19,2016-01-10,Inter,Sassuolo,0,1
184,19,2016-01-10,Atalanta,Genoa,0,2
185,19,2016-01-10,Bologna,Chievo Verona,0,1
186,19,2016-01-10,Carpi,Udinese,2,1
187,19,2016-01-10,Frosinone,Napoli,1,5
188,19,2016-01-10,Hellas Verona,Palermo,0,1
189,19,2016-01-10,Torino,Empoli,0,1
190,20,2016-01-17,Roma,Hellas Verona,1,1
191,20,2016-01-17,Carpi,Sampdoria,2,1
192,20,2016-01-17,Bologna,Lazio,2,2
193,20,2016-01-17,Atalanta,Inter,1,1
194,20,2016-01-17,Udinese,Juventus,0,4
195,20,2016-01-17,Chievo Verona,Empoli,1,1
196,20,2016-01-17,Genoa,Palermo,4,0
197,20,2016-01-17,Milan,Fiorentina,2,0
198,20,2016-01-17,Napoli,Sassuolo,3,1
199,20,2016-01-17,Torino,Frosinone,4,2
200,21,2016-01-24,Fiorentina,Torino,2,0
201,21,2016-01-24,Sampdoria,Napoli,2,4
202,21,2016-01-24,Lazio,Chievo Verona,4,1
203,21,2016-01-24,Inter,Carpi,1,1
204,21,2016-01-24,Sassuolo,Bologna,0,2
205,21,2016-01-24,Frosinone,Atalanta,0,0
206,21,2016-01-24,Hellas Verona,Genoa,1,1
207,21,2016-01-24,Palermo,Udinese,4,1
208,21,2016-01-24,Empoli,Milan,2,2
209,21,2016-01-24,Juventus,Roma,1,0
210,22,2016-01-31,Genoa,Fiorentina,0,0
211,22,2016-01-31,Roma,Frosinone,3,1
212,22,2016-01-31,Bologna,Sampdoria,3,2
213,22,2016-01-31,Chievo Verona,Juventus,0,4
214,22,2016-01-31,Milan,Inter,3,0
215,22,2016-01-31,Torino,Hellas Verona,0,0
216,22,2016-01-31,Udinese,Lazio,0,0
217,22,2016-01-31,Atalanta,Sassuolo,1,1
218,22,2016-01-31,Carpi,Palermo,1,1
219,22,2016-01-31,Napoli,Empoli,5,1
220,23,2016-02-03,Inter,Chievo Verona,1,0
221,23,2016-02-03,Hellas Verona,Atalanta,2,1
222,23,2016-02-03,Frosinone,Bologna,1,0
223,23,2016-02-03,Palermo,Milan,0,2
224,23,2016-02-03,Empoli,Udinese,1,1
225,23,2016-02-03,Fiorentina,Carpi,2,1
226,23,2016-02-03,Sassuolo,Roma,0,2
227,23,2016-02-03,Sampdoria,Torino,2,2
228,23,2016-02-03,Lazio,Napoli,0,2
229,23,2016-02-03,Juventus,Genoa,1,0
230,24,2016-02-07,Atalanta,Empoli,0,0
231,24,2016-02-07,Roma,Sampdoria,2,1
232,24,2016-02-07,Sassuolo,Palermo,2,2
233,24,2016-02-07,Genoa,Lazio,0,0
234,24,2016-02-07,Frosinone,Juventus,0,2
235,24,2016-02-07,Milan,Udinese,1,1
236,24,2016-02-07,Hellas Verona,Inter,3,3
237,24,2016-02-07,Bologna,Fiorentina,1,1
238,24,2016-02-07,Torino,Chievo Verona,1,2
239,24,2016-02-07,Napoli,Carpi,1,0
240,25,2016-02-14,Fiorentina,Inter,2,1
241,25,2016-02-14,Lazio,Hellas Verona,5,2
242,25,2016-02-14,Carpi,Roma,1,3
243,25,2016-02-14,Palermo,Torino,1,3
244,25,2016-02-14,Juventus,Napoli,1,0
245,25,2016-02-14,Milan,Genoa,2,1
246,25,2016-02-14,Chievo Verona,Sassuolo,1,1
247,25,2016-02-14,Udinese,Bologna,0,1
248,25,2016-02-14,Sampdoria,Atalanta,0,0
249,25,2016-02-14,Empoli,Frosinone,1,2
250,26,2016-02-21,Napoli,Milan,1,1
251,26,2016-02-21,Roma,Palermo,5,0
252,26,2016-02-21,Atalanta,Fiorentina,2,3
253,26,2016-02-21,Bologna,Juventus,0,0
254,26,2016-02-21,Torino,Carpi,0,0
255,26,2016-02-21,Hellas Verona,Chievo Verona,3,1
256,26,2016-02-21,Genoa,Udinese,2,1
257,26,2016-02-21,Sassuolo,Empoli,3,2
258,26,2016-02-21,Frosinone,Lazio,0,0
259,26,2016-02-21,Inter,Sampdoria,3,1
260,27,2016-02-28,Sampdoria,Frosinone,2,0
261,27,2016-02-28,Lazio,Sassuolo,0,2
262,27,2016-02-28,Carpi,Atalanta,1,1
263,27,2016-02-28,Fiorentina,Napoli,1,1
264,27,2016-02-28,Milan,Torino,1,0
265,27,2016-02-28,Udinese,Hellas Verona,2,0
266,27,2016-02-28,Palermo,Bologna,0,0
267,27,2016-02-28,Chievo Verona,Genoa,1,0
268,27,2016-02-28,Empoli,Roma,1,3
269,27,2016-02-28,Juventus,Inter,2,0
270,28,2016-03-06,Napoli,Chievo Verona,3,1
271,28,2016-03-06,Inter,Palermo,3,1
272,28,2016-03-06,Hellas Verona,Sampdoria,0,3
273,28,2016-03-06,Atalanta,Juventus,0,2
274,28,2016-03-06,Sassuolo,Milan,2,0
275,28,2016-03-06,Frosinone,Udinese,2,0
276,28,2016-03-06,Roma,Fiorentina,4,1
277,28,2016-03-06,Torino,Lazio,1,1
278,28,2016-03-06,Genoa,Empoli,1,0
279,28,2016-03-06,Bologna,Carpi,0,0
280,29,2016-03-13,Chievo Verona,Milan,0,0
281,29,2016-03-13,Fiorentina,Hellas Verona,1,1
282,29,2016-03-13,Juventus,Sassuolo,1,0
283,29,2016-03-13,Empoli,Sampdoria,1,1
284,29,2016-03-13,Udinese,Roma,1,2
285,29,2016-03-13,Palermo,Napoli,0,1
286,29,2016-03-13,Carpi,Frosinone,2,1
287,29,2016-03-13,Genoa,Torino,3,2
288,29,2016-03-13,Lazio,Atalanta,2,0
289,29,2016-03-13,Inter,Bologna,2,1
290,30,2016-03-20,Milan,Lazio,1,1
291,30,2016-03-20,Empoli,Palermo,0,0
292,30,2016-03-20,Torino,Juventus,1,4
293,30,2016-03-20,Sampdoria,Chievo Verona,0,1
294,30,2016-03-20,Sassuolo,Udinese,1,1
295,30,2016-03-20,Napoli,Genoa,3,1
296,30,2016-03-20,Roma,Inter,1,1
297,30,2016-03-20,Frosinone,Fiorentina,0,0
298,30,2016-03-20,Atalanta,Bologna,2,0
299,30,2016-03-20,Hellas Verona,Carpi,1,2
300,31,2016-04-03,Udinese,Napoli,3,1
301,31,2016-04-03,Atalanta,Milan,2,1
302,31,2016-04-03,Carpi,Sassuolo,1,3
303,31,2016-04-03,Inter,Torino,1,2
304,31,2016-04-03,Lazio,Roma,1,4
305,31,2016-04-03,Juventus,Empoli,1,0
306,31,2016-04-03,Fiorentina,Sampdoria,1,1
307,31,2016-04-03,Bologna,Hellas Verona,0,1
308,31,2016-04-03,Genoa,Frosinone,4,0
309,31,2016-04-03,Chievo Verona,Palermo,3,1
310,32,2016-04-10,Sassuolo,Genoa,0,1
311,32,2016-04-10,Chievo Verona,Carpi,1,0
312,32,2016-04-10,Torino,Atalanta,2,1
313,32,2016-04-10,Palermo,Lazio,0,3
314,32,2016-04-10,Napoli,Hellas Verona,3,0
315,32,2016-04-10,Sampdoria,Udinese,2,0
316,32,2016-04-10,Milan,Juventus,1,2
317,32,2016-04-10,Frosinone,Inter,0,1
318,32,2016-04-10,Roma,Bologna,1,1
319,32,2016-04-10,Empoli,Fiorentina,2,0
320,33,2016-04-17,Fiorentina,Sassuolo,3,1
321,33,2016-04-17,Juventus,Palermo,4,0
322,33,2016-04-17,Lazio,Empoli,2,0
323,33,2016-04-17,Atalanta,Roma,3,3
324,33,2016-04-17,Bologna,Torino,0,1
325,33,2016-04-17,Hellas Verona,Frosinone,1,2
326,33,2016-04-17,Udinese,Chievo Verona,0,0
327,33,2016-04-17,Sampdoria,Milan,0,1
328,33,2016-04-17,Carpi,Genoa,4,1
329,33,2016-04-17,Inter,Napoli,2,0
330,34,2016-04-20,Juventus,Lazio,3,0
331,34,2016-04-20,Napoli,Bologna,6,0
332,34,2016-04-20,Sassuolo,Sampdoria,0,0
333,34,2016-04-20,Empoli,Hellas Verona,1,0
334,34,2016-04-20,Chievo Verona,Frosinone,5,1
335,34,2016-04-20,Udinese,Fiorentina,2,1
336,34,2016-04-20,Palermo,Atalanta,2,2
337,34,2016-04-20,Genoa,Inter,1,0
338,34,2016-04-20,Roma,Torino,3,2
339,34,2016-04-20,Milan,Carpi,0,0
340,35,2016-04-24,Torino,Sassuolo,1,3
341,35,2016-04-24,Sampdoria,Lazio,2,1
342,35,2016-04-24,Frosinone,Palermo,0,2
343,35,2016-04-24,Fiorentina,Juventus,1,2
344,35,2016-04-24,Bologna,Genoa,2,0
345,35,2016-04-24,Roma,Napoli,1,0
346,35,2016-04-24,Hellas Verona,Milan,2,1
347,35,2016-04-24,Inter,Udinese,3,1
348,35,2016-04-24,Carpi,Empoli,1,0
349,35,2016-04-24,Atalanta,Chievo Verona,1,0
350,36,2016-05-01,Chievo Verona,Fiorentina,0,0
351,36,2016-05-01,Sassuolo,Hellas Verona,1,0
352,36,2016-05-01,Milan,Frosinone,3,3
353,36,2016-05-01,Palermo,Sampdoria,2,0
354,36,2016-05-01,Lazio,Inter,2,0
355,36,2016-05-01,Juventus,Carpi,2,0
356,36,2016-05-01,Udinese,Torino,1,5
357,36,2016-05-01,Empoli,Bologna,0,0
358,36,2016-05-01,Napoli,Atalanta,2,1
359,36,2016-05-01,Genoa,Roma,2,3
360,37,2016-05-08,Frosinone,Sassuolo,0,1
361,37,2016-05-08,Hellas Verona,Juventus,2,1
362,37,2016-05-08,Inter,Empoli,2,1
363,37,2016-05-08,Fiorentina,Palermo,0,0
364,37,2016-05-08,Sampdoria,Genoa,0,3
365,37,2016-05-08,Bologna,Milan,0,1
366,37,2016-05-08,Carpi,Lazio,1,3
367,37,2016-05-08,Atalanta,Udinese,1,1
368,37,2016-05-08,Torino,Napoli,1,2
369,37,2016-05-08,Roma,Chievo Verona,3,0
370,38,2016-05-14,Empoli,Torino,2,1
371,38,2016-05-14,Palermo,Hellas Verona,3,2
372,38,2016-05-14,Napoli,Frosinone,4,0
373,38,2016-05-14,Udinese,Carpi,1,2
374,38,2016-05-14,Genoa,Atalanta,1,2
375,38,2016-05-14,Sassuolo,Inter,3,1
376,38,2016-05-14,Milan,Roma,1,3
377,38,2016-05-14,Lazio,Fiorentina,2,4
378,38,2016-05-14,Chievo Verona,Bologna,0,0
379,38,2016-05-14,Juventus,Sampdoria,5,0
